Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-03-27,2014,3,27,Thursday,12,2014-12,212.37,213.6,203.0,207.32,9495700,207.32,-0.026483843030801202,229.86071428571432,209.87259999999995
2014-03-28,2014,3,28,Friday,12,2014-12,212.8,216.72,210.27,212.37,9684800,212.37,0.024358419904313866,227.97000000000003,210.83739999999997
2014-03-31,2014,3,31,Monday,13,2014-13,216.5,216.75,206.39,208.45,8380000,208.45,-0.01845834279358638,226.11571428571432,211.58700000000002
2014-04-01,2014,4,1,Tuesday,13,2014-13,209.02,218.16,208.58,216.97,7371400,216.97,0.04087313215253463,224.36428571428573,212.5262
2014-04-02,2014,4,2,Wednesday,13,2014-13,220.0,230.89,218.05,230.29,10782300,230.29,0.06139093879563795,223.82857142857145,213.5984
2014-04-03,2014,4,3,Thursday,13,2014-13,230.3,235.73,222.0,225.4,10923700,225.4,-0.021234094108347423,223.43071428571434,214.5352
2014-04-04,2014,4,4,Friday,13,2014-13,226.01,228.27,211.25,212.23,11345600,212.23,-0.058429452198626386,221.8771428571429,215.1498
2014-04-07,2014,4,7,Monday,14,2014-14,205.81,216.2,203.51,207.52,9855500,207.52,-0.022192864109203514,219.55428571428575,215.8082
2014-04-08,2014,4,8,Tuesday,14,2014-14,210.05,216.49,206.42,215.46,6889300,215.46,0.038261383374787794,218.09857142857146,216.72499999999997
2014-04-09,2014,4,9,Wednesday,14,2014-14,216.76,218.45,210.89,216.93,5157900,216.93,0.006822546719151612,216.81428571428575,217.49599999999998
2014-04-10,2014,4,10,Thursday,14,2014-14,216.82,217.5,203.79,204.19,7211500,204.19,-0.0587285791016271,215.05000000000004,218.0752
2014-04-11,2014,4,11,Friday,14,2014-14,200.61,207.0,198.6,203.78,9067200,203.78,-0.002007951697963417,213.87928571428577,218.49400000000003
2014-04-14,2014,4,14,Monday,15,2014-15,207.6,208.44,194.41,198.09,7703000,198.09,-0.027922281261610893,212.2828571428572,218.82760000000002
2014-04-15,2014,4,15,Tuesday,15,2014-15,199.09,199.29,184.32,193.91,13659300,193.91,-0.021101482927241122,210.92214285714292,219.1636
2014-04-16,2014,4,16,Wednesday,15,2014-15,197.0,199.99,190.82,199.11,7202200,199.11,0.026816548141081142,210.33571428571435,219.57120000000003
2014-04-17,2014,4,17,Thursday,15,2014-15,199.61,202.29,194.08,198.12,5926800,198.12,-0.004972153533872259,209.3178571428572,220.04520000000005
2014-04-21,2014,4,21,Monday,16,2014-16,197.08,206.2,194.0,204.38,5258200,204.38,0.03159706198216994,209.02714285714293,220.56520000000003
2014-04-22,2014,4,22,Tuesday,16,2014-16,206.36,219.33,205.01,218.64,9804700,218.64,0.0697719648016073,209.14642857142866,221.2074
2014-04-23,2014,4,23,Wednesday,16,2014-16,216.33,216.74,207.0,207.99,7295600,207.99,-0.04871018078217482,207.5535714285715,221.43600000000004
2014-04-24,2014,4,24,Thursday,16,2014-16,210.81,212.8,203.2,207.86,5495200,207.86,-0.000625053509202278,206.30071428571435,221.66080000000002
