,index,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Profit/Loss,Account Balance
150,1157,2018-08-07,2018,8,7,Tuesday,31,2018-31,343.84,387.46,339.15,379.57,30875800,379.57,0.1098863070936349,318.2450000000003,323.5880000000003,16.937645265936474,171.07555119723497
151,1158,2018-08-08,2018,8,8,Wednesday,31,2018-31,369.09,382.64,367.12,370.34,24571200,370.34,-0.024317018753391872,321.824285714286,325.31960000000026,-4.160047386710014,166.91550381052497
152,1159,2018-08-09,2018,8,9,Thursday,31,2018-31,365.55,367.01,345.73,352.45,17183800,352.45,-0.048306918798305835,324.6007142857146,326.53420000000017,-8.063173688753338,158.85233012177162
153,1160,2018-08-10,2018,8,10,Friday,31,2018-31,354.0,360.0,346.0,355.49,11552000,355.49,0.008625274285869677,328.33571428571463,327.94940000000025,1.370144918249798,160.2224750400214
154,1161,2018-08-13,2018,8,13,Monday,32,2018-32,361.13,363.19,349.02,356.41,10463900,356.41,0.0025880150018509074,332.54857142857173,329.24120000000016,0.0,160.2224750400214
155,1162,2018-08-14,2018,8,14,Tuesday,32,2018-32,358.45,359.2,347.1,347.64,6986400,347.64,-0.024606461444853792,335.3271428571432,330.2592000000002,0.0,160.2224750400214
156,1163,2018-08-15,2018,8,15,Wednesday,32,2018-32,341.91,344.49,332.14,338.69,9101300,338.69,-0.025745057616805792,337.6157142857146,331.21040000000016,0.0,160.2224750400214
157,1164,2018-08-16,2018,8,16,Thursday,32,2018-32,339.91,342.28,333.82,335.45,6064000,335.45,-0.009566241137972551,340.349285714286,331.5294000000002,0.0,160.2224750400214
158,1165,2018-08-17,2018,8,17,Friday,32,2018-32,323.5,326.77,303.53,305.5,18958600,305.5,-0.08928308575689325,341.444285714286,331.31760000000014,0.0,160.2224750400214
159,1166,2018-08-20,2018,8,20,Monday,33,2018-33,291.7,308.5,288.2,308.44,17402300,308.44,0.009623575912950157,342.1800000000003,331.1332000000002,1.5419131515084077,161.7643881915298
160,1167,2018-08-21,2018,8,21,Tuesday,33,2018-33,310.61,324.79,309.0,321.9,13172200,321.9,0.043638929284586236,343.68428571428586,330.9292000000002,7.059224697054526,168.82361288858434
161,1168,2018-08-22,2018,8,22,Wednesday,33,2018-33,320.87,323.88,314.67,321.64,5946000,321.64,-0.0008076398042135003,341.6914285714288,330.5066000000002,-0.13634866965995202,168.68726421892438
162,1169,2018-08-23,2018,8,23,Thursday,33,2018-33,319.14,327.32,318.1,320.1,5147300,320.1,-0.004787988044973711,339.6864285714288,330.0130000000001,-0.8076726044195317,167.87959161450485
163,1170,2018-08-24,2018,8,24,Friday,33,2018-33,320.7,323.85,319.4,322.82,3602600,322.82,0.008497348231300883,338.31714285714315,329.31500000000017,1.4265313508770272,169.30612296538186
164,1171,2018-08-27,2018,8,27,Monday,34,2018-34,318.0,322.44,308.81,319.27,13079300,319.27,-0.01099689681557281,334.0100000000002,328.5370000000002,-1.8618419644949864,167.44428100088686
165,1172,2018-08-28,2018,8,28,Tuesday,34,2018-34,318.41,318.88,311.19,311.86,7649100,311.86,-0.023209208247230717,329.83285714285734,327.3576000000002,-3.886249187557401,163.55803181332945
166,1173,2018-08-29,2018,8,29,Wednesday,34,2018-34,310.27,311.85,303.69,305.01,7447400,305.01,-0.021964907034211056,326.4442857142859,326.4068000000002,-3.5925369634783157,159.96549484985113
167,1174,2018-08-30,2018,8,30,Thursday,34,2018-34,302.26,304.6,297.72,303.15,7216700,303.15,-0.006098212549056625,322.7057142857145,325.22540000000026,-0.9755035881094151,158.98999126174172
168,1175,2018-08-31,2018,8,31,Friday,34,2018-34,302.0,305.31,298.6,301.66,5375100,301.66,-0.004915026436991377,318.7950000000002,324.3084000000003,-0.7814400102684886,158.20855125147324
169,1176,2018-09-04,2018,9,4,Tuesday,35,2018-35,296.94,298.19,288.0,288.95,8350500,288.95,-0.04213349897494079,314.6028571428573,323.4148000000003,-6.665879831980815,151.54267141949242
170,1177,2018-09-05,2018,9,5,Wednesday,35,2018-35,285.05,286.78,277.18,280.74,7720800,280.74,-0.028413295123080995,310.46357142857164,322.36940000000027,-4.30582664678213,147.2368447727103
171,1178,2018-09-06,2018,9,6,Thursday,35,2018-35,284.8,291.17,278.88,280.95,7480800,280.95,0.0007481013748020793,306.5707142857145,321.14840000000027,0.11014808599598491,147.34699285870627
172,1179,2018-09-07,2018,9,7,Friday,35,2018-35,260.1,268.35,252.25,263.24,22491900,263.24,-0.06303620289436329,303.552142857143,319.52320000000026,-9.288194937715707,138.05879792099057
