Year,Week_Number,mean_return,volatility,label
2015,23,0.1368,1.775026958,
2015,24,0.931,1.178091677,
2015,25,0.3592,1.786215748,
2015,26,1.21375,2.569521145,
2015,27,-1.505,2.803631217,
2015,28,1.1768,1.400830539,
2015,29,-0.6458,3.015389229,
2015,30,0.1008,3.355419676,
2015,31,-1.761,4.441242337,
2015,32,0.059,1.24977378,
2015,33,-0.9626,4.385564422,
2015,34,1.578,4.729270293,
2015,35,-0.4992,2.902322294,
2015,36,0.853,1.205653626,
2015,37,0.826,1.583402981,
2015,38,-0.277,1.518323417,
2015,39,-0.7062,2.804598937,
2015,40,-2.2664,1.21765073,
2015,41,0.585,2.151922977,
2015,42,-1.5946,2.967248018,
2015,43,-0.187,2.269364669,
2015,44,2.4518,5.299446547,
2015,45,-2.251,1.983800267,
2015,46,1.2236,2.001106019,
2015,47,1.32,2.714906628,
2015,48,-0.0912,1.953289968,
2015,49,-1.1684,2.164591139,
2015,50,1.2408,2.862924676,
2015,51,0.01475,0.864765238,
2015,52,1.02025,1.832725361,
2016,1,-2.5152,2.603163787,
2016,2,-0.5442,2.822928922,
2016,3,-0.286,1.862985239,
2016,4,-1.132,1.894291292,
2016,5,-3.0942,4.811027874,
2016,6,-1.3572,5.090139802,
2016,7,2.54875,4.419521797,
2016,8,2.7346,2.880182685,
2016,9,1.1266,2.584214832,
2016,10,0.652,2.082161977,
2016,11,2.3256,0.917118204,
2016,12,-0.49225,3.553820515,
2016,13,0.862,1.780137214,
2016,14,1.083,3.674826458,
2016,15,0.3622,1.548678856,
2016,16,-0.0468,1.803914826,
2016,17,-1.039,1.291495838,
2016,18,-2.2078,2.999239354,
2016,19,-0.6844,1.242581708,
2016,20,1.207,1.948746648,
2016,21,0.2608,1.693675795,
2016,22,-0.4545,0.807961426,
2016,23,0.0404,3.822778087,
2016,24,-0.3008,1.051236748,
2016,25,-2.063,4.861433791,
2016,26,2.3146,1.221159613,
2016,27,0.03475,0.823855317,
2016,28,0.3458,1.895680142,
2016,29,0.1906,2.315138614,
2016,30,1.1124,1.606979558,
2016,31,-0.3992,1.569167518,
2016,32,-0.381,1.246526574,
2016,33,-0.0528,0.557624605,
2016,34,-0.447,0.759145902,
2016,35,-2.089,2.035127392,
2016,36,-0.405,2.078650043,
2016,37,1.109,1.532532708,
2016,38,0.2002,0.583216255,
2016,39,-0.3194,1.764187008,
2016,40,-0.6982,3.189632063,
2016,41,-0.0008,1.534150319,
2016,42,0.3796,2.124377156,
2016,43,-0.0054,1.275802218,
2016,44,-0.9452,1.879040633,
2016,45,-0.1926,2.118711236,
2016,46,-0.3524,2.528791569,
2016,47,1.54525,1.619970653,
2016,48,-1.579,1.909314013,
2016,49,1.1708,2.101287986,
2016,50,1.0604,1.564898016,
2016,51,1.0586,1.520824875,
2016,52,0.05825,2.154667395,
2017,1,1.761,2.01887576,
2017,2,0.7626,1.664688049,
2017,3,0.7325,1.337706121,
2017,4,0.6694,1.278911568,
2017,5,-0.1252,0.871693295,
2017,6,1.393,1.364708943,
2017,7,0.256,2.921109635,
2017,8,-1.37875,3.611891506,
2017,9,-0.4066,2.196179478,
2017,10,-0.634,0.338460485,
2017,11,1.441,2.273537772,
2017,12,0.1592,2.833726733,
2017,13,1.1332,1.413875242,
2017,14,1.7352,3.61195663,
2017,15,0.16125,3.290743723,
2017,16,0.1108,1.214114574,
2017,17,0.5554,1.348468872,
2017,18,-0.3078,3.83894578,
2017,19,1.0628,2.103288544,
2017,20,-0.8542,2.319297566,
2017,21,0.9204,1.997639557,
2017,22,1.1215,1.583389718,
2017,23,1.0336,2.537940366,
2017,24,0.7994,2.445628815,
2017,25,0.6434,0.801930047,
2017,26,-1.1398,2.54925699,
2017,27,-3.472,3.810852486,
2017,28,0.9276,1.920995133,
2017,29,0.0544,2.043958855,
2017,30,0.4298,2.614883114,
2017,31,1.3288,3.835429663,
2017,32,0.0676,1.865561926,
2017,33,-0.5764,1.735464866,
2017,34,0.0556,2.3343217,
2017,35,0.422,0.900241357,
2017,36,-0.84325,1.757376145,
2017,37,2.0602,2.485985056,
2017,38,-1.5416,2.137381763,
2017,39,-0.5724,0.905421614,
2017,40,0.912,0.960768703,
2017,41,-0.0442,2.693838284,
2017,42,-0.584,1.73185955,
2017,43,-1.4358,1.537352009,
2017,44,-0.867,4.195987488,
2017,45,-0.2006,0.812268921,
2017,46,0.803,2.212893581,
2017,47,0.06,2.324285553,
2017,48,-0.5688,1.522897797,
2017,49,0.5656,1.636944501,
2017,50,1.7564,2.260711016,
